"plot","basal_area","density","qmd","status"
"pt-b17-1",17.0707070707071,135.85,3.8608,"unknown"
"pt-b17-2",31.1570247933884,148.2,8.3566,"unknown"
"pt-b17-3",14.9839302112029,148.2,5.3594,"unknown"
"pt-b19-2",22.6010101010101,222.3,19.7104,"unknown"
"pt-b19-3",18.7718089990817,222.3,3.7592,"unknown"
"pt-bc1-1",22.1028466483012,123.5,10.8966,"unknown"
"pt-bc1-3",16.8985307621671,49.4,9.4996,"unknown"
"pt-bc2-1",11.7171717171717,74.1,4.6482,"unknown"
"pt-bc2-2",3.54683195592286,12.35,1.8542,"unknown"
"pt-bc2-3",16.5817263544536,111.15,5.6388,"unknown"
"pt-bc5-3",20.7552800734619,222.3,6.096,"unknown"
"pt-er1-1",19.4742883379247,123.5,7.2136,"unknown"
"pt-er1-2",35.925160697888,197.6,19.6342,"unknown"
"pt-er1-3",37.7892561983471,247,38.7096,"unknown"
"pt-er2-1",23.7144168962351,172.9,20.8788,"unknown"
"pt-er2-2",0.893021120293848,24.7,4.4704,"unknown"
"pt-er2-3",17.5872359963269,271.7,10.3886,"unknown"
"pt-er3-1",5.11937557392103,98.8,3.2258,"unknown"
"pt-er3-2",11.4738292011019,74.1,12.4714,"unknown"
"pt-er3-3",14.5316804407713,74.1,7.7978,"unknown"
"pt-ld23-1",7.70661157024793,86.45,1.0668,"unknown"
"pt-ld23-2",12.6767676767677,172.9,1.1938,"unknown"
"pt-ld23-3",21.1616161616162,135.85,44.5262,"unknown"
"pt-ld48-1",11.2741046831956,61.75,19.3548,"unknown"
"pt-ld48-2",5.39026629935721,37.05,3.5052,"unknown"
"pt-ld48-3",17.8099173553719,98.8,13.7668,"unknown"
"pt-s64-1",14.6602387511478,111.15,40.9702,"unknown"
"pt-s64-3",15.2410468319559,98.8,44.2976,"unknown"
"pt-s64-4",10.9044995408632,74.1,40.0558,"unknown"
"pt-ss12-3",29.4375573921028,135.85,15.2146,"unknown"
"pt-ss8-1",13.6960514233241,61.75,53.1368,"unknown"
"pt-ss8-2",11.9788797061524,61.75,49.6824,"unknown"
"pt-t1-1",16.1065197428834,123.5,38.8366,"unknown"
"pt-t1-3",20.6198347107438,123.5,46.101,"unknown"
"pt-t1-5",23.9072543617998,111.15,52.324,"unknown"
"bangs-north_05",9.7,111,33.3970025068784,"live"
"bangs-north_05",0,0,0,"dead"
"bangs-north_10",22.6,124,48.2991535909275,"live"
